family	system	status	corpus_id_or_repo	head_sha	license	size_kb	mechanism_dirs	note
compiler/IR	LLVM	ALREADY_ADMITTED	llvm-project	0bd330675f9eb08126e467505a0800f167084473 (pinned)	Apache-2.0 WITH LLVM-exception		llvm/lib/CodeGen, llvm/lib/Target	corpus id llvm-project, APPROVED_COMPILER_BINARY_LANE, COARSE_CENSUSED
compiler/IR	MLIR	ALREADY_ADMITTED	mlir (subtree of llvm-project)	4790b21292d10b2cab1037ebef100e7f595e4209 (pinned)	Apache-2.0 WITH LLVM-exception		mlir/ (verified present in staged llvm-project tree)	DUPLICATE: mlir and llvm-project are the same repo pinned at two different commits; consider one pin
compiler/IR	Cranelift	ALREADY_ADMITTED	wasmtime (cranelift/ subdir)	7ad2e732ab9ca8665d3cdd91f9c395315eeafc81 (pinned)	Apache-2.0 WITH LLVM-exception		cranelift/codegen, cranelift/frontend (cranelift/ verified in staged tree)	mechanism lives inside wasmtime; regalloc2 also admitted separately; duumbi studies cranelift lowering
compiler/IR	QBE	MISSING	c9x.me/git/qbe.git (GitHub mirror omenos/mirror-qbe at parity)	e786f06032fefa2e3790d6b1c9e31ed138f475a6	MIT	1807 (mirror)	whole repo: parse.c, ssa.c, rega.c, emit/isel under amd64/ arm64/ rv64/ [dirs unverified]	official upstream is c9x.me (no GitHub org); mirror HEAD == upstream HEAD, verified via ls-remote; LICENSE fetched = MIT
compiler/IR	WebAssembly spec/runtimes	ALREADY_ADMITTED	wasm-spec; wasmtime; wasm-tools; wasm-component-model	see corpus	MULTIPLE / Apache-2.0		interpreter/, document/core (wasm-spec)	fully covered by four admitted ids
front-end	tree-sitter	ALREADY_ADMITTED	tree-sitter	see corpus	MIT		lib/src	admitted
front-end	rust-analyzer	ALREADY_ADMITTED	rust-analyzer	see corpus	MIT OR Apache-2.0		crates/hir, crates/ide	admitted; salsa also admitted
formal	Z3	MISSING	Z3Prover/z3	17cb5863c61fd30bde8af3b4c6c8175d6041a644	MIT	197470	src/sat, src/smt, src/api (Z3_solver_push/pop, check -> sat/unsat/unknown) [dirs unverified]	GitHub reports NOASSERTION; LICENSE.txt fetched = MIT. verus/kani consume SMT/SAT solvers but no solver source in corpus
formal	cvc5	MISSING	cvc5/cvc5	02594aba46d28c583d16f8f03a972a64a36742e9	BSD-3-Clause	149349	src/prop, src/theory, src/smt, src/api/cpp [dirs unverified]	GitHub NOASSERTION; COPYING = BSD for cvc5 source; optional GPL deps (CLN/GLPK) off by default, so avoid those configs
formal	Lean 4	MISSING	leanprover/lean4	1a63affc1b788fa3b9823ef3ee9805f03501e9b8	Apache-2.0	6886833	src/kernel (type checker), src/Lean/Meta [dirs unverified]	repo is ~6.9 GB with history: use sparse checkout for src/kernel only
formal	Rocq/Coq	MISSING	rocq-prover/rocq	295beaf5197294e24862e42adfc651ef40b7a472	LGPL-2.1	216770	kernel/ [dirs unverified]	LGPL: principles only under Atlas policy
formal	TLA+ tools	MISSING	tlaplus/tlaplus	4260e471245fce04ad5610bae7125bdc9ef7eec6	MIT	154597	tlatools/org.lamport.tlatools/src/tlc2 (TLC model checker) [dirs unverified]	
formal	Apalache	MISSING	apalache-mc/apalache	1371658a2c7377b43882b82764ea7720ec689e21	Apache-2.0	72025	tla-bmcmt/ (symbolic model checking to SMT) [dirs unverified]	depends on Z3; redundant if Z3 + TLA+ are admitted
construction	Nix	MISSING	NixOS/nix	8f7ed1c1d1246bfa98cefd152c87d1ea26a3d463	LGPL-2.1	138512	src/libstore (derivations, store paths), src/libexpr [dirs unverified]	LGPL: principles only; the hermetic input-addressed derivation model is still study-worthy
construction	Bazel	OVERLAPPING	bazelbuild/bazel (overlaps admitted buck2)	4e1c9b4dd5c54599bf70e73797f659d15d614192	Apache-2.0	1023404	src/main/java/com/google/devtools/build/lib/actions (ActionKeyCache, digest), lib/remote [dirs unverified]	buck2 already covers action graph, target identity, and RE-API action digests; bazel is ~1 GB, so admit only the actions/ + remote/ subtree if needed
construction	Buck2	ALREADY_ADMITTED	buck2	78ec517305d8214d6160f6c99b1d0a3554879878 (pinned)	MIT OR Apache-2.0		app/buck2_execute, dice/	admitted, ABSORB_LATER
construction	Git	MISSING	git/git	0f8e75abebff0877cae681a3d5ff31ac47f54220	GPL-2.0-only	319505	object-file.c, object.c, tree.c, pack-*.c [dirs unverified]	GitHub NOASSERTION; COPYING = GPLv2, so principles only. Tree is staged unadmitted in .atlas/temporary/donors/git (no corpus row or provenance json). blake3 covers content addressing
sandbox	Firecracker	MISSING	firecracker-microvm/firecracker	8ff4940e6a723c541331e74c92cc2caeb26b6e31	Apache-2.0	42333	src/vmm, src/vmm/src/devices/virtio, resources/seccomp [dirs unverified]	
sandbox	Linux namespaces/seccomp	OVERLAPPING	podman (admitted: sandboxing, rootless_isolation)	see corpus	Apache-2.0		n/a	podman covers this at a high level; a compact reference (nsjail) is missing
sandbox	nsjail (compact ns/seccomp ref)	MISSING	google/nsjail	f100fd917c6d3ed0fd15d868528b735cb5fb1a1a	Apache-2.0	2023	whole repo: subproc.cc, ns*.cc, sandbox.cc (seccomp via kafel), cgroup*.cc [dirs unverified]	recommended compact reference
sandbox	bubblewrap (alt)	MISSING	containers/bubblewrap	f8e1e5077eb8613ca559bac0d422282a910015d6	LGPL-2.0-or-later	981	bubblewrap.c [dirs unverified]	GitHub NOASSERTION; COPYING = LGPL, so principles only; prefer nsjail
sandbox	Wasmtime/WASI	ALREADY_ADMITTED	wasmtime (crates/wasi*)	see corpus	Apache-2.0 WITH LLVM-exception		crates/wasi, crates/wasi-io (verified in staged tree)	admitted
provenance	in-toto	MISSING	in-toto/in-toto	e352b43ad7cb8915d84c36d791aa61346152a0a3	Apache-2.0	3326	in_toto/models (layout, link), in_toto/verifylib.py [dirs unverified]	GitHub NOASSERTION; LICENSE fetched = Apache-2.0; default branch is develop
provenance	in-toto attestation	MISSING	in-toto/attestation	fd2609c16bcb0ac53443e2b4612977f997e8f9a5	Apache-2.0	2520	spec/v1 (Statement, ResourceDescriptor, predicates), protos/ [dirs unverified]	GitHub NOASSERTION; LICENSE = Apache-2.0
provenance	in-toto-rs (smallest impl)	MISSING	in-toto/in-toto-rs	48e57fd04624d30d081fae1dddf56caaa4a5b81e	MIT	508	src/models, src/verify.rs [dirs unverified]	smallest in-toto implementation, and it is Rust
provenance	SLSA	MISSING	slsa-framework/slsa	618f5b2192aad8417a8ee8ccb9e3f27d05c0e9b6	Community-Spec-1.0	18864	docs/spec/ (provenance predicate, build levels) [dirs unverified]	spec licence, not a code licence: study and attribution OK; GitHub reports NOASSERTION
provenance	Sigstore	OVERLAPPING	containers-image (admitted; signature/sigstore + rekor_set verified)	see corpus	Apache-2.0		signature/sigstore, signature/internal/rekor_set.go	verifier side already present in the admitted containers-image; transparency-log server (rekor) is missing
