subdomain	system	status	repo	head_sha	license	size	mechanism_slice	note
browser_observation	Playwright	CANDIDATE_NOT_ADMITTED; installed-in-container v1.56.1	microsoft/playwright	b7957c51db7074a1bb28b6cab57386c1b856300a	Apache-2.0	242 MB git (GH API size KB=242472)	packages/playwright-core/src/server/dom.ts (1059 L) + frames.ts + page.ts + screenshotter.ts + chromium/crPage.ts; packages/injected/src/ariaSnapshot.ts (549 L) + roleUtils.ts (1360 L) + domUtils.ts; packages/isomorphic/ariaSnapshot.ts	All paths verified 200 at HEAD. Requested server/injected/* moved to packages/injected/src. Image comparator not found at src/server/utils/comparators.ts at HEAD; shipped build has lib/server/utils/comparators.js + lib/third_party/pixelmatch.js. Observation substrate PROVEN in container (see observe.js).
browser_observation	rrweb	CANDIDATE_NOT_ADMITTED	rrweb-io/rrweb	5b08843faf9cb21c836613489ffd93d455f38181	MIT	13 MB git	packages/rrweb-snapshot/src/snapshot.ts (1368 L) + types.ts; packages/rrweb/src/record/{index,mutation,observer}.ts; packages/types/src/index.ts; replay: packages/rrweb/src/replay/index.ts	Serialized DOM snapshot + incremental mutation event log (record/replay). No computed style/geometry per node by default (unverified beyond file presence). Best donor for the event-log/incremental shape of the observation record.
interaction_state	shadcn/ui	CANDIDATE_NOT_ADMITTED	shadcn-ui/ui	98a1fe67b439324ddc857f47fbdce056600a4329	MIT	71 MB git	packages/shadcn/src/registry/schema.ts + packages/shadcn/src/schema/index.ts (registry item schema); apps/v4/registry/new-york-v4/ui/*.tsx	Mechanism is a copy-in component REGISTRY (zod schema for items/files/deps/cssVars), not state logic; components wrap Radix. Donor for component-registry manifest shape only.
interaction_state	Radix Primitives	CANDIDATE_NOT_ADMITTED	radix-ui/primitives	f7ecd5ab16f5e1e820eb5786a1419a98a2d594ae	MIT	24 MB git	packages/react/presence/src/use-state-machine.tsx (20 L: state x event -> state table via useReducer) + presence.tsx (280 L; mounted/unmountSuspended/unmounted); dismissable-layer, focus-scope, roving-focus, use-controllable-state, popper	Smallest verified explicit state-machine slice in the frontier. Behaviors (dismiss/focus-trap/roving) are implicit graphs in hooks, not declared data.
motion	Motion (framer-motion)	CANDIDATE_NOT_ADMITTED	motiondivision/motion	33f6e72d17ebd3e23a2bfb53f3d4c36ce7c11343	MIT	1.66 GB git (large history/assets)	packages/motion-dom/src/animation/generators/spring.ts (481 L) + inertia.ts + keyframes.ts + utils/calc-duration.ts; packages/motion-utils/src/easing/cubic-bezier.ts (71 L)	Requested path packages/framer-motion/src/animation/generators/spring is 404 at HEAD: generators moved to motion-dom. Analytic damped spring (under/critical/over-damped) + cubic-bezier solver: pure functions, ideal donor. Never clone full repo; fetch slice.
scene_graph	Three.js	CANDIDATE_NOT_ADMITTED	mrdoob/three.js	aed5f6ebcfb0cdeff7ff6593fc4b90fb0360da39	MIT	1.68 GB git	src/core/Object3D.js (1709 L; parent/children, local/world matrix, matrixWorldNeedsUpdate) + src/scenes/Scene.js + src/math/Matrix4.js + src/core/Layers.js + src/core/EventDispatcher.js; src/animation/AnimationMixer.js	Default branch dev. Canonical 3D transform-hierarchy node.
scene_graph	PixiJS	CANDIDATE_NOT_ADMITTED	pixijs/pixijs	ecd3797cf9b57766b045f3eea8388db9677744f8	MIT	138 MB git	src/scene/container/Container.ts (2141 L) + RenderGroup.ts + utils/updateRenderGroupTransforms.ts + container-mixins/childrenHelperMixin.ts; src/maths/matrix/Matrix.ts	Default branch dev. 2D affine hierarchy with render-group dirty propagation (v8).
scene_graph	Babylon.js	CANDIDATE_NOT_ADMITTED	BabylonJS/Babylon.js	0520900e8d7afcb7b7923bb9bad913e49b6cf919	Apache-2.0	1.48 GB git	packages/dev/core/src/node.ts + Meshes/transformNode.ts + scene.ts; packages/dev/gui/src/2D/controls/control.ts	License file is lowercase license.md. Redundant with three.js for the node primitive; heavier.
media_codegen	screenshot-to-code	CANDIDATE_NOT_ADMITTED	abi/screenshot-to-code	d026163f586dfa8c5c10d28c36edd59a9d3b0e88	MIT	11 MB git	backend/routes/generate_code.py + backend/prompts/ + backend/llm.py + backend/evals/core.py + backend/video/utils.py	LLM prompt pipeline (image -> HTML/Tailwind), not a mechanism primitive. Useful only as an eval-harness reference (screenshot -> code -> render -> compare).
media_workflow	Diffusers	CANDIDATE_NOT_ADMITTED	huggingface/diffusers	e0118ade2f60234c41bacf40330a7e2f61108849	Apache-2.0	110 MB git	src/diffusers/schedulers/scheduling_utils.py + scheduling_ddim.py (595 L) + scheduling_euler_discrete.py + scheduling_flow_match_euler_discrete.py; src/diffusers/pipelines/pipeline_utils.py; src/diffusers/modular_pipelines/modular_pipeline.py	Scheduler = pure step function (timesteps, sigma schedule); modular_pipelines = typed block composition (newer; semantics unverified).
media_workflow	ComfyUI	CANDIDATE_NOT_ADMITTED; COPYLEFT_REFERENCE_ONLY	comfyanonymous/ComfyUI (canonical now Comfy-Org/ComfyUI; old URL redirects)	1568e6cfd04586a4b3c4e1817ea7dde09b1bf9e7	GPL-3.0-only (GH API: GPL-3.0)	99 MB git	execution.py (1446 L) + comfy_execution/graph.py (387 L; DynamicPrompt, topological ExecutionList) + graph_utils.py + caching.py (620 L; input-signature cache keys) + validation.py	Requested comfy/graph is 404; the graph lives in comfy_execution/. GPL-3: principles only, no code/text transplant.
media_workflow	FFmpeg	CANDIDATE_NOT_ADMITTED; COPYLEFT_REFERENCE_ONLY	FFmpeg/FFmpeg	c0e8b139fd32fc1a547d546042be6bc2b03d5b73	LGPL-2.1-or-later (default build); GPL-2.0-or-later when configured --enable-gpl (a few files GPL-3.0-or-later e.g. vf_lensfun.c); some files MIT/BSD	498 MB git	libavfilter/avfilter.c + avfiltergraph.c + graphparser.c (1042 L; filtergraph string grammar) + fftools/ffmpeg_filter.c	GH API reports NOASSERTION. LICENSE.md lists GPL-only parts (x86 asm, several vf_* filters, test tools). Container: no ffmpeg on PATH; /opt/pw-browsers/ffmpeg-1011/ffmpeg-linux is n7.0.1-playwright-build-1011, LGPL build (no --enable-gpl, ships COPYING.LGPLv2.1), --disable-everything + mjpeg/png/libvpx vp8/webm/scale/crop/pad only.
layout_constraints	kiwi (Cassowary)	CANDIDATE_NOT_ADMITTED	nucleic/kiwi	4df2f39c016e90a5ffb3c6e71470146077100200	BSD-3-Clause (Modified BSD; GH API NOASSERTION)	0.7 MB git	kiwi/solverimpl.h (825 L) + kiwi/{constraint,symbolics,expression,term,variable,strength}.h (header-only C++)	Smallest permissive incremental linear-constraint solver with strengths: exact fit for ratio-first relations (a.w = 0.618*b.w, required/strong/weak).
layout_constraints	Yoga	CANDIDATE_NOT_ADMITTED	facebook/yoga	a8b4817143940e2717f60148ec418cf95b789628	MIT	unverified (GH search refused repo; ls-remote OK)	yoga/algorithm/CalculateLayout.cpp (2968 L) + yoga/node/Node.cpp + yoga/YGNode.h	Flexbox algorithm (incl. aspectRatio). Heavier than kiwi and flex-specific; useful as oracle for flex semantics, but browser itself is the oracle here.
accessibility	axe-core	CANDIDATE_NOT_ADMITTED; WEAK_COPYLEFT_FILE_LEVEL	dequelabs/axe-core	eb854ed3e7498f1c1c6bd941b44181455a8e4866	MPL-2.0	23 MB git	lib/core/base/virtual-node/virtual-node.js (208 L) + lib/core/utils/get-flattened-tree.js + lib/commons/aria/get-role.js + lookup-table.js + lib/commons/text/accessible-text-virtual.js + lib/standards/aria-roles.js	MPL-2.0 is file-level copyleft: modified files must stay MPL. Playwright's Apache-2.0 roleUtils.ts/ariaSnapshot.ts covers role+name extraction and is already runnable here (locator.ariaSnapshot() verified).
visual_diff	pixelmatch	CANDIDATE_NOT_ADMITTED	mapbox/pixelmatch	b2800051f2b79d18cf27e51cd240cafd38cfb0ba	ISC	2.7 MB git	index.js (596 L; YIQ perceptual delta + anti-alias detection)	Single-file. A copy is already bundled in the container's playwright-core (lib/third_party/pixelmatch.js).
higgsfield	higgsfield (GPU training framework)	EXISTS; NOT_A_CREATOR_DONOR	higgsfield-ai/higgsfield	d12a36e66024a93d33ec61826a77d5a346c16869	Apache-2.0	5 MB git	n/a	README: 'multi node training without crying' - fault-tolerant GPU orchestration / LLM training framework (ZeRO-3, FSDP). Created 2018; not the video product.
higgsfield	Higgsfield CLI	EXISTS; CLIENT_ONLY	higgsfield-ai/cli	dc7e2d2eac0b1fdad255de24d87552d1ba479037	MIT	0.5 MB git	install.sh (downloads release tarball hf_<ver>_<os>_<arch>.tar.gz)	Client for the hosted Higgsfield AI generation API (40+ third-party models: Veo, Kling, Seedance, FLUX...). No source manifest found at common paths (package.json/go.mod/Cargo.toml 404) - repo appears to ship installer + prebuilt binaries (unverified: full tree not listable).
higgsfield	Higgsfield skills	EXISTS; CLIENT_ONLY	higgsfield-ai/skills	d071406147a37b835bed09543d85ab3e9bd85c7d	MIT	1 MB git	Markdown agent skills	Prompt/agent skills that call the Higgsfield CLI/API. No generation mechanism.
higgsfield	higgsfield-client (Python SDK)	EXISTS; CLIENT_ONLY	higgsfield-ai/higgsfield-client	aefd1ca677929762b9f69a7a7ea530a4a695d6a8	Apache-2.0	41 KB git	SDK	API client for cloud.higgsfield.ai (API key/secret).
higgsfield	higgsfield-js (Node SDK)	EXISTS; CLIENT_ONLY	higgsfield-ai/higgsfield-js	e3f274249962417e21f6566d4eecec6d8491d11c	MIT (package.json only; no LICENSE file at HEAD; GH API license null)	374 KB git	SDK	npm @higgsfield/client. License declared only in package.json - weak evidence.
higgsfield	other higgsfield-ai repos	EXISTS; IRRELEVANT	higgsfield-ai/{cursor-plugin,omagotchi,homebrew-tap}	not resolved	MIT / MIT / none	small	n/a	Org has 8 public repos total (GH search user:higgsfield-ai). None contains the video-generation models or pipeline.
higgsfield	community 'open-higgsfield' clones	NOT_OFFICIAL; UNLICENSED	wide-trace/open-higgsfield; ClabstreamTeam/Open-Higgsfield-AI	b16a0efe4d7e2707b56f8ccb02387fd2a9d2eddf; 44788b5ae32dd396f51daa6c7ffca6fde86e0378	none (no LICENSE file; GH API null)	n/a	n/a	Third-party UI wrappers around hosted model APIs; no license = all rights reserved. Not admissible.
